Comunidad autonoma,Estacion,Altura,Mes,T,TM,Tm,R,H,DR,DN,DT,DF,DH,DD,I
Comunidad Valenciana,Valencia,11,Enero,11.8,16.4,7.1,37,64,4.4,0.0,0.3,0.5,0.3,9.0,171
Comunidad Valenciana,Valencia,11,Febrero,12.5,17.1,7.8,36,64,3.9,0.0,0.4,1.3,0.1,6.0,171
Comunidad Valenciana,Valencia,11,Marzo,14.4,19.3,9.6,33,63,3.6,0.0,0.4,0.9,0.0,7.1,215
Comunidad Valenciana,Valencia,11,Abril,16.2,20.8,11.5,38,62,4.8,0.0,1.1,0.7,0.0,5.2,234
Comunidad Valenciana,Valencia,11,Mayo,19.0,23.4,14.6,39,65,4.3,0.0,1.8,0.4,0.0,5.9,258
Comunidad Valenciana,Valencia,11,Junio,22.9,27.1,18.6,22,66,2.6,0.0,1.8,0.2,0.0,9.0,276
Comunidad Valenciana,Valencia,11,Julio,25.6,29.7,21.5,8,67,1.1,0.0,1.6,0.1,0.0,13.0,314
Comunidad Valenciana,Valencia,11,Agosto,26.1,30.2,21.9,20,68,2.4,0.0,1.9,0.3,0.0,10.2,288
Comunidad Valenciana,Valencia,11,Septiembre,23.5,27.9,19.1,70,67,5.0,0.0,2.8,0.0,0.0,6.6,234
Comunidad Valenciana,Valencia,11,Octubre,19.7,24.3,15.2,77,67,5.0,0.0,2.3,0.0,0.0,5.9,202
Comunidad Valenciana,Valencia,11,Noviembre,15.3,19.8,10.8,47,66,4.3,0.0,0.5,0.3,0.0,6.7,167
Comunidad Valenciana,Valencia,11,Diciembre,12.6,17.0,8.1,48,65,4.8,0.0,0.3,0.2,0.0,7.1,155
Comunidad Valenciana,Alicante,81,Enero,11.7,17.0,6.3,23,67,3.6,0.0,0.2,0.2,0.4,8.0,181
Comunidad Valenciana,Alicante,81,Febrero,12.3,17.6,7.1,22,66,3.0,0.0,0.4,0.5,0.3,6.1,180
Comunidad Valenciana,Alicante,81,Marzo,14.2,19.6,8.9,23,65,3.4,0.0,0.4,0.6,0.0,6.5,227
Comunidad Valenciana,Alicante,81,Abril,16.1,21.3,10.9,29,63,4.1,0.0,1.6,0.2,0.0,5.5,247
Comunidad Valenciana,Alicante,81,Mayo,19.1,24.1,14.1,28,64,4.0,0.0,2.3,0.0,0.0,5.4,277
Comunidad Valenciana,Alicante,81,Junio,22.9,27.8,18.1,12,63,1.8,0.0,1.5,0.0,0.0,9.9,302
Comunidad Valenciana,Alicante,81,Julio,25.5,30.3,20.7,4,65,0.6,0.0,0.7,0.1,0.0,15.2,330
Comunidad Valenciana,Alicante,81,Agosto,26.0,30.8,21.2,7,67,1.1,0.0,1.1,0.0,0.0,12.7,304
Comunidad Valenciana,Alicante,81,Septiembre,23.5,28.5,18.5,56,69,3.3,0.0,2.7,0.1,0.0,6.5,250
Comunidad Valenciana,Alicante,81,Octubre,19.7,24.9,14.5,47,70,4.5,0.0,2.1,0.1,0.0,5.4,217
Comunidad Valenciana,Alicante,81,Noviembre,15.4,20.5,10.3,36,69,4.2,0.0,0.5,0.1,0.0,5.7,173
Comunidad Valenciana,Alicante,81,Diciembre,12.6,17.7,7.4,25,68,3.8,0.0,0.4,0.0,0.1,7.0,164
Comunidad Valenciana,Elche aeropuerto,43,Enero,11.6,16.7,6.5,21,61,3.6,0.0,0.4,0.3,0.5,7.4,184
